ym,n_uni,turnover,top10,bot10,uni_ew,spx,top10_net
2012-11,332,0.4,0.00568259954617577,0.015588450107785923,0.015018363270658528,0.0028467166850427716,0.00488259954617577
2012-12,361,0.3,0.0059306431300613525,0.015371828101076656,0.023258439282268988,0.00706823095628395,0.005330643130061353
2013-01,360,0.1,0.03746872001578348,0.13840356298129236,0.07161560111561194,0.05042809646686841,0.037268720015783484
2013-02,280,0.5,0.014944724245888174,0.022822471144095535,0.013657692247512199,0.011060648765041314,0.013944724245888173
2013-03,337,0.5,0.03767276488060752,0.04276852215898599,0.042739950434467204,0.0359877239828732,0.03667276488060752
2013-04,342,0.0,0.03195150052439625,0.009723445712734712,0.015929423529792906,0.018085767779889794,0.03195150052439625
2013-05,353,0.6,0.0127793897486981,0.04306107391878698,0.026598321782769958,0.02076281168305738,0.0115793897486981
2013-06,373,0.2,0.00039591305960233746,0.011904219286197292,-0.013220317664675267,-0.014999301595580938,-4.086940397662561e-06
2013-07,371,0.1,0.036395041508973235,0.04662532059799625,0.056082244670281486,0.04946207991308493,0.036195041508973236
2013-08,359,0.6,-0.04024799040902542,-0.04633065347025217,-0.02771667386808609,-0.031298019479344075,-0.04144799040902542
2013-09,373,0.3,0.04268201608622592,0.02182605752996608,0.044010716187466034,0.029749523259194888,0.042082016086225915
2013-10,372,0.1,0.059434441632235324,0.03250544216519589,0.046867141839526096,0.044595752761944496,0.059234441632235325
2013-11,361,0.4,0.00969445249189772,0.049041624609250586,0.024722042299232187,0.02804947136732805,0.00889445249189772
2013-12,368,0.2,0.015186584857478747,0.043902856787620945,0.028288243193596636,0.023562791975446196,0.014786584857478748
2014-01,366,0.1,-0.046566101207706136,-0.026459446333691305,-0.025436612944417757,-0.03558290595581193,-0.046766101207706134
2014-02,272,0.5,0.07540546730939589,0.07548833102959322,0.04850198972646993,0.043117030178161375,0.07440546730939589
2014-03,360,0.5,0.005772327558363555,0.0032939327385162697,0.010479400704985885,0.006932165418227054,0.004772327558363555
2014-04,363,0.2,0.012347042218348803,-0.013409239829511588,-0.0009261864096051168,0.0062007891534139326,0.011947042218348804
2014-05,346,0.4,0.029545127944653127,0.018336863732635034,0.02392932113316497,0.021030280073280005,0.02874512794465313
2014-06,370,0.3,0.02425783043585934,0.030673833457720644,0.025712766269670725,0.01905833174947058,0.02365783043585934
2014-07,370,0.0,0.0030497156449058927,-0.015233938782932267,-0.022566122725979958,-0.01507983084534259,0.0030497156449058927
2014-08,364,0.5,0.04629954767385693,0.03585746222753335,0.044696170037776414,0.0376552955798255,0.04529954767385693
2014-09,375,0.2,-0.004909422027038512,-0.028648868301536366,-0.02464373924430665,-0.015513837249453988,-0.005309422027038512
2014-10,376,0.1,0.02393560918021509,0.025090800812582803,0.03492990253373038,0.023201460667202856,0.02373560918021509
2014-11,350,0.5,0.027241820331485478,0.02492513078988524,0.03009968211514483,0.024533588646315385,0.026241820331485477
2014-12,373,0.3,0.011030709549841955,-0.013669131868213048,0.004556655555679231,-0.004188587515996933,0.010430709549841955
2015-01,370,0.1,-0.04933423458550841,-0.02729639219433857,-0.02786889654506984,-0.0310408058384104,-0.04953423458550841
2015-02,277,0.4,0.11562195790178469,0.09141426848879697,0.060558659141733244,0.054892510890623525,0.11482195790178469
2015-03,372,0.4,-0.02902261505469835,-0.0009431958616409886,-0.008940586010073536,-0.01739610711421946,-0.02982261505469835
2015-04,380,0.1,-0.02213453701553434,-0.00040726756249945815,0.004687347807859322,0.008520819822535275,-0.02233453701553434
2015-05,374,0.4,0.013366442932204537,0.01834249722616884,0.010560692221071503,0.010491382304590013,0.012566442932204536
2015-06,387,0.4,-0.019128537598388885,-0.00036629582600719026,-0.018713431726841947,-0.021011671979729973,-0.019928537598388883
2015-07,383,0.1,0.05875554851462537,0.007698353958891946,0.0109160885844658,0.019742029435185104,0.05855554851462537
2015-08,369,0.6,-0.0788260073608662,-0.03733408105769668,-0.05371280229088618,-0.0625808182558657,-0.08002600736086621
2015-09,389,0.2,-0.015990441862309513,-0.036654547722668275,-0.03218761166659972,-0.026442831280001577,-0.016390441862309514
2015-10,391,0.1,0.0193720528467479,0.03936948119187952,0.06871179424004963,0.08298311781266587,0.019172052846747903
2015-11,368,0.5,0.00937050817400199,0.03394972104398154,0.004007050034085513,0.0005048691103350933,0.008370508174001989
2015-12,391,0.3,-0.024471236214830116,-0.043711511165906804,-0.025967794801911512,-0.01753018503269277,-0.025071236214830116
2016-01,392,0.2,-0.05748465799707109,-0.0750640639717231,-0.057455267483474064,-0.05073532204695208,-0.057884657997071085
2016-02,275,0.4,-0.02591503705228986,0.015779100709269068,0.020171421198872542,-0.004128360309003876,-0.026715037052289857
2016-03,387,0.4,0.05278405946226546,0.03814659542997284,0.08299977634549328,0.06599111444005867,0.05198405946226546
2016-04,391,0.2,-0.01372255353954408,0.04628073520045485,0.012943156571040594,0.0026993982833325436,-0.014122553539544079
2016-05,397,0.3,0.010102977699668936,-0.0023195454241598523,0.018657155844104528,0.015324602525288666,0.009502977699668937
2016-06,408,0.3,0.0037625156341563825,-0.0009768251490758439,9.671862768833594e-05,0.0009109212401239297,0.0031625156341563826
2016-07,410,0.0,0.018773273096014276,0.017974131702804087,0.04812950483341807,0.035609800753315435,0.018773273096014276
2016-08,397,0.4,0.02667392524640687,0.0012744475364731334,0.0016722393769702686,-0.0012192428990192017,0.025873925246406873
2016-09,409,0.2,-0.00540788577176603,-0.01761214054717828,0.0009386532822859631,-0.00123445113931675,-0.00580788577176603
2016-10,409,0.1,0.004457191111760938,0.002772679081075269,-0.024582155201690232,-0.019425678909034683,0.004257191111760939
2016-11,375,0.3,0.04137014244930184,0.062197701101520134,0.05240938653012743,0.03417452182929526,0.040770142449301834
2016-12,390,0.4,-0.008851421005212644,-0.0031540354381905723,0.014248100994812168,0.01820076244186586,-0.009651421005212645
2017-01,391,0.1,0.05616875150019697,0.021535524696102305,0.023893799162831138,0.01788435819838252,0.05596875150019697
2017-02,300,0.3,-0.003971195005285977,0.061004383675639165,0.032008014356006836,0.037198160066815866,-0.004571195005285977
2017-03,380,0.5,0.04224020373942452,-0.042125568156948734,0.000603939702785385,-0.0003891971352694146,0.04124020373942452
2017-04,388,0.1,0.030703847319458022,0.024232318786248475,0.006769176709665568,0.009091208748855273,0.030503847319458023
2017-05,377,0.5,0.03000615599805413,-0.008399396540305892,0.008804698303856391,0.011576251246327995,0.029006155998054128
2017-06,394,0.5,-0.020821577695431547,-0.01481938354592891,0.012852333018090205,0.004813775207812565,-0.021821577695431547
2017-07,390,0.1,0.02917297577397675,0.01231641376343554,0.017434873526469438,0.019348826001101882,0.028972975773976752
2017-08,383,0.4,-0.03420072902074613,0.003263464000215466,-0.005573054522626315,0.000546433019853465,-0.035000729020746135
2017-09,401,0.3,0.028295571553553122,0.007956356304125745,0.03251520259402223,0.019302978562167672,0.027695571553553122
2017-10,399,0.1,0.017002610636302495,0.04314428063196368,0.018940805689472793,0.02218813506615147,0.016802610636302496
2017-11,383,0.5,0.03694807922132411,0.014218902203680928,0.03851268217148408,0.028082627806563787,0.035948079221324106
2017-12,405,0.4,0.01380724923666794,0.01257418186872573,0.011777217709429728,0.009831630594270946,0.013007249236667939
2018-01,408,0.2,0.06722192270462571,0.0606911597787694,0.04566311183418878,0.05617870412552772,0.06682192270462571
2018-02,318,0.5,-0.053191456012840845,-0.029540065516817593,-0.04317406966351068,-0.03894737187936814,-0.054191456012840845
2018-03,412,0.4,-0.006845962074559131,-0.005256937948295071,-0.009446434885447995,-0.02688449860055686,-0.0076459620745591315
2018-04,427,0.2,0.02092178195835951,0.00015888308497591375,0.0031260831439238316,0.0027187749953683227,0.02052178195835951
2018-05,402,0.3,-0.013345591691838899,-0.015080129903937266,0.01655873792858388,0.02160834185458338,-0.013945591691838899
2018-06,401,0.3,0.04151359138054752,0.0030962889228573266,0.01030035319294796,0.00484243626760783,0.040913591380547516
2018-07,399,0.2,0.04841847992550243,0.060791891951030144,0.03354241634496196,0.03602155617289937,0.048018479925502434
2018-08,396,0.4,0.02557022168842902,0.00670923188295045,0.022665621218246713,0.030263211276748248,0.02477022168842902
2018-09,408,0.3,0.02038511030170621,-0.023438282473346995,0.001388251189152313,0.0042942874264615405,0.01978511030170621
2018-10,407,0.2,-0.07514803235529034,-0.08281435828122755,-0.0738362593170336,-0.0694033560936963,-0.07554803235529034
2018-11,391,0.4,0.007205569014230528,0.01079943737907434,0.029613210743201796,0.01785935665478,0.006405569014230528
2018-12,406,0.3,-0.06394679636485923,-0.07226701031101337,-0.09911602272912014,-0.09177689467997241,-0.06454679636485923
2019-01,410,0.1,0.06287323953184205,0.07699392600578503,0.10077453061401907,0.0786844016658268,0.06267323953184205
2019-02,323,0.4,0.06589281911136369,0.0482799879145412,0.03790886179259584,0.029728889343926923,0.06509281911136369
2019-03,428,0.7,0.04244725976226117,0.014481915139175627,0.009809721079435558,0.01792425624958849,0.04104725976226117
2019-04,440,0.1,0.028110673745199665,0.028380419106341558,0.03525830658701348,0.03931349831373776,0.027910673745199666
2019-05,425,0.3,-0.054961151338114536,-0.057807485965639935,-0.06554324943366495,-0.06577773136683507,-0.05556115133811454
2019-06,447,0.5,0.08484730083481476,0.08121142128392704,0.07874094153971571,0.06893016399824159,0.08384730083481476
2019-07,448,0.1,0.012333219660304217,0.017294846056158653,0.01035882555998277,0.013128152166958396,0.012133219660304216
2019-08,438,0.6,-0.01253454923465831,-0.041051496194597616,-0.028627997019636694,-0.018091627240524266,-0.013734549234658309
2019-09,457,0.3,0.053529027798302195,-0.001401104482008464,0.03218531079644525,0.017181177931020475,0.05292902779830219
2019-10,455,0.1,0.013999899305880525,-0.002820487594751586,0.013768404713821618,0.020431770513684278,0.013799899305880525
2019-11,433,0.6,0.048545375483222075,0.0025296426744664145,0.03439409458088872,0.034047037714499906,0.047345375483222076
2019-12,452,0.7,0.03947766637585339,0.026581955852943706,0.02824119311893463,0.028589818905729647,0.03807766637585339
2020-01,461,0.0,-0.02529525760516129,-0.004683525191762583,-0.013648320931149378,-0.0016280928190488542,-0.02529525760516129
2020-02,339,0.3,-0.08070824803119771,-0.07308062084601472,-0.09058023313704211,-0.08411048363840323,-0.08130824803119771
2020-03,456,0.5,-0.17115790140100431,-0.21408140280941326,-0.1845516406070271,-0.12511928240892844,-0.17215790140100432
2020-04,464,0.0,0.1685773545094056,0.10057063433589689,0.14234435791221395,0.12684403816527867,0.1685773545094056
2020-05,436,0.6,0.09209447787136764,0.0661427349571866,0.054170521905631694,0.045281819665558665,0.09089447787136763
2020-06,500,0.5,0.011237584856447347,-0.00250573105111227,0.0177235247178811,0.018388396513924432,0.010237584856447348
2020-07,498,0.1,0.07762638054859418,0.06348208694366451,0.04860991502611544,0.05510132148044411,0.07742638054859417
2020-08,495,0.7,0.06548920843044724,0.02424916915409825,0.04961761861739546,0.07006466690171753,0.06408920843044724
2020-09,504,0.3,-0.01977961423809015,-0.018160687375329432,-0.023451263907127727,-0.03922797017842261,-0.02037961423809015
2020-10,504,0.1,-0.0256098038535962,-0.012108119256272776,-0.0040002680344899625,-0.027665786221379718,-0.0258098038535962
2020-11,474,0.7,0.11342454093732549,0.08401252415254379,0.1580993409875807,0.10754563544385931,0.11202454093732549
2020-12,492,0.2,0.012734766111777585,0.04268889823745168,0.041730574891135214,0.03712145909357023,0.012334766111777586
2021-01,496,0.1,-0.028713621026727632,-0.010831054011412022,-0.00568303358007234,-0.01113666075544506,-0.02891362102672763
2021-02,347,0.7,0.017903452786332763,0.05669464178079111,0.06748047838991324,0.026091451377448394,0.016503452786332765
2021-03,496,0.3,0.03752623648791496,0.03015880374044131,0.05586461637426972,0.042438632533165155,0.03692623648791496
2021-04,501,0.2,0.08228134000242789,0.04465717031163906,0.050717093291186725,0.052425321347558285,0.08188134000242789
2021-05,501,0.5,0.00036132794189235317,0.02828804250545902,0.01848321272828762,0.00548648867060697,-0.0006386720581076468
2021-06,501,0.3,-0.017861708008426347,-0.036904821097104454,0.0045537559553272,0.02221400956583497,-0.018461708008426347
2021-07,500,0.3,0.01052637790288934,-0.04326380802096015,0.014598090107232625,0.02274805482838871,0.00992637790288934
2021-08,474,0.5,0.019517538237971765,0.0470872393299949,0.023211748765651952,0.028990416255438856,0.018517538237971764
2021-09,497,0.3,-0.050541521466861514,-0.02276134524881863,-0.038020781158826664,-0.04756916880190076,-0.05114152146686152
2021-10,499,0.0,-0.0127495891646212,0.038151508422303346,0.05619276190699771,0.06914383640060695,-0.0127495891646212
2021-11,475,0.7,0.02762458150317152,-0.04546914989662838,-0.027023570804886397,-0.008333706184746159,0.026224581503171522
2021-12,496,0.5,0.02349749025538833,0.08137167864029513,0.06202757916481917,0.04361291346206464,0.02249749025538833
2022-01,502,0.2,-0.12010925544492937,-0.009792509134192884,-0.045611305128794445,-0.0525851650273933,-0.12050925544492937
2022-02,383,0.5,-0.04045183172800482,-0.0023897613769241154,-0.008342763247040655,-0.031360491945908286,-0.04145183172800482
2022-03,494,0.5,-0.005320929981801892,0.0381927285343731,0.02839318946351182,0.035773288371546474,-0.006320929981801892
2022-04,504,0.2,-0.06884938648286094,-0.045198036176057645,-0.06511942682723064,-0.08795671180434295,-0.06924938648286094
2022-05,499,0.7,0.01546427007134039,-0.01644142399746453,0.009985669863815957,5.317770464441374e-05,0.01406427007134039
2022-06,499,0.4,-0.08231903530626178,-0.08565564672333462,-0.092680439226199,-0.08391999993382704,-0.08311903530626177
2022-07,498,0.0,0.06476004611712519,0.1396381827225903,0.09370666142026822,0.09111639173021024,0.06476004611712519
2022-08,481,0.5,-0.017048219606907045,-0.037267069677079746,-0.03301050023701835,-0.04244012827299792,-0.018048219606907046
2022-09,496,0.5,-0.0819450231685447,-0.08563536126469184,-0.09175317427140177,-0.09339567201327492,-0.0829450231685447
2022-10,496,0.0,0.1443413437914151,0.09295438301727932,0.10010278972982979,0.0798634138370089,0.1443413437914151
2022-11,470,0.2,0.03043611070753629,0.08894066019948761,0.07023068379412543,0.05375289335249267,0.030036110707536288
2022-12,492,0.5,-0.04600904526394669,-0.024340175904213324,-0.04967226162183697,-0.05897147407473069,-0.04700904526394669
2023-01,498,0.1,0.037021798969236075,0.06171808870439518,0.07755195459224247,0.061752857834678654,0.036821798969236076
2023-02,384,0.7,-0.00645986712506238,-0.04458077044021345,-0.03350159650297444,-0.026112493931818803,-0.00785986712506238
2023-03,488,0.7,0.01110193353263359,-0.01783455915279324,-0.00012746984324787594,0.035051612577109204,0.00970193353263359
2023-04,498,0.2,0.05083219778992919,-0.004888246185203027,0.0026352527997905452,0.014642341662481462,0.05043219778992919
2023-05,489,0.8,-0.05993129737066882,-0.04455652971964495,-0.031214656554339557,0.002482347368193194,-0.06153129737066882
2023-06,498,0.3,0.07932145306350054,0.05000668067029547,0.08104340517320409,0.06472746490423376,0.07872145306350053
2023-07,493,0.0,0.031056515203216884,0.019697244761538224,0.03773866154513841,0.031138932355011084,0.031056515203216884
2023-08,471,0.7,-0.005134064649080161,-0.01146991091173929,-0.030249145497627094,-0.017716390070854127,-0.006534064649080161
2023-09,490,0.6,-0.03540683359882566,-0.004701998650234618,-0.04875357896429562,-0.04871936746562466,-0.03660683359882566
2023-10,490,0.1,-0.005870956035259644,0.029984236218613913,-0.04150518495813614,-0.02197968873798295,-0.006070956035259644
2023-11,470,0.1,0.10803599656548277,0.08033106962499217,0.09620835120304196,0.08917926878196969,0.10783599656548276
2023-12,487,0.5,0.07954566730070747,0.04656209480982727,0.07145419744034796,0.04422923115635968,0.07854566730070747
2024-01,495,0.2,-0.0022740552710321716,-0.003458328705071878,-0.00624026591491082,0.01589570759899117,-0.002674055271032172
2024-02,372,0.6,0.03477106844345799,0.04825073179126919,0.047413111502359814,0.0517206406237225,0.03357106844345799
2024-03,490,0.5,0.04571960354438308,0.0304726380052855,0.046657366499254116,0.031018779915342964,0.04471960354438308
2024-04,496,0.1,-0.011800487563422168,-0.02161476915283548,-0.050095545951955936,-0.04161507173789902,-0.012000487563422169
2024-05,481,0.5,0.02629585947829589,0.07061531446903978,0.028673424944055427,0.0480211901511991,0.02529585947829589
2024-06,483,0.6,0.0072737494522203015,0.019663492298932172,-0.0006546286295412105,0.03466980128308306,0.006073749452220302
2024-07,486,0.0,0.028111164809235468,-0.04217864341541401,0.04467440011450345,0.011321316887868083,0.028111164809235468
2024-08,461,0.6,0.035980204351474365,0.042956113495283846,0.026389038706542148,0.02283470693663059,0.034780204351474366
2024-09,483,0.7,0.014017015898441464,0.0928790277002343,0.02550262855606236,0.02019688409060083,0.012617015898441464
2024-10,484,0.0,0.0012420576387304426,-0.021494512727280313,-0.014847210552612055,-0.00989674330315149,0.0012420576387304426
2024-11,459,0.6,0.1104228834344138,0.12000603221875487,0.06553671213639876,0.057301295482098835,0.10922288343441379
2024-12,479,0.5,-0.04107834808047441,-0.07390697731423453,-0.06206285093110946,-0.024990137048483407,-0.04207834808047441
2025-01,488,0.2,0.07775913822495897,0.0396202928747856,0.036004332527245844,0.027016304240443434,0.07735913822495898
2025-02,326,0.3,-0.06072763312675159,-0.02243425975495037,-0.008786857497746763,-0.01424209269982446,-0.061327633126751595
2025-03,480,0.6,-0.053802682932891935,-0.04892138921138598,-0.036137039972759424,-0.05754469768137538,-0.055002682932891934
2025-04,486,0.1,0.027570321636363082,-0.0004945267127426045,-0.023233622504654675,-0.007624943346289492,0.027370321636363083
2025-05,468,0.4,0.06625698440979534,0.0665015292628834,0.04454210132005525,0.061523826140782445,0.06545698440979535
2025-06,457,0.5,0.07220767468488007,0.04208300049952838,0.035238799554235783,0.04960683946771627,0.07120767468488007
2025-07,426,0.0,0.02490491060046931,0.035801126238067214,0.008720186620185892,0.021666562530641142,0.02490491060046931
2025-08,187,0.5,-0.04122769745416407,0.061730293932511796,0.019614898014568068,0.019066444295036122,-0.04222769745416407
